num_empresarial,num_comentario
20213,com001
20256,com002
20257,com003
20258,com004
20259,com005
20260,com006
20261,com007
20262,com008
20263,com009
20264,com010
20265,com011
20266,com012
20267,com013
20268,com014
20269,com015
20270,com016
20271,com017
20272,com018
20273,com019
20274,com020
20275,com021
20276,com022
20213,com023
20256,com024
20257,com025
20258,com026
20259,com027
20260,com028
20261,com029
20262,com030
20263,com031
20264,com032
20265,com033
20266,com034
20267,com035
20268,com036
20269,com037
20270,com038
20271,com039
20272,com040
20273,com041
20274,com042
20275,com043
20276,com044
20213,com045
20256,com046
20257,com047
20258,com048
20259,com049
20260,com050
