num_comentario,num_post
com001,post001
com002,post001
com003,post002
com004,post002
com005,post003
com006,post003
com007,post004
com008,post004
com009,post005
com010,post005
com011,post006
com012,post006
com013,post007
com014,post007
com015,post008
com016,post008
com017,post009
com018,post009
com019,post010
com020,post010
com021,post011
com022,post011
com023,post012
com024,post012
com025,post013
com026,post013
com027,post014
com028,post014
com029,post015
com030,post015
com031,post016
com032,post016
com033,post017
com034,post017
com035,post018
com036,post018
com037,post019
com038,post019
com039,post020
com040,post020
com041,post021
com042,post021
com043,post022
com044,post022
com045,post023
com046,post023
com047,post024
com048,post024
com049,post025
com050,post025
